City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Yar-Sale,RU,2021-09-23 01:23:19,66.8333,70.8333,38.05,85,100,17.05
251,General Roca,AR,2021-09-23 01:23:20,-39.0333,-67.5833,61.2,30,0,16.8
252,Buluang,PH,2021-09-23 01:23:20,13.3068,123.3425,84.56,70,99,0.74
253,Kargat,RU,2021-09-23 01:23:20,55.1956,80.2811,36.39,94,100,1.99
254,Caucaia,BR,2021-09-23 01:21:09,-3.7361,-38.6531,80.04,78,20,5.75
255,Mount Gambier,AU,2021-09-23 01:23:21,-37.8333,140.7667,62.35,52,0,14.12
256,Yenagoa,NG,2021-09-23 01:23:21,4.9247,6.2642,73.47,96,100,1.52
257,Parabel,RU,2021-09-23 01:23:22,58.6978,81.4825,32.86,90,100,5.01
258,Swinoujscie,PL,2021-09-23 01:23:23,53.9105,14.2471,54.48,86,15,17.31
259,Namwala,ZM,2021-09-23 01:23:23,-15.7504,26.4384,67.84,40,84,8.5
260,Dikson,RU,2021-09-23 01:23:24,73.5069,80.5464,34.95,95,100,8.61
261,Presidencia Roque Saenz Pena,AR,2021-09-23 01:19:09,-26.7852,-60.4388,64.51,57,67,5.77
262,Yatou,CN,2021-09-23 01:23:25,37.15,122.3833,73.2,52,53,2.71
263,Binga,ZW,2021-09-23 01:23:25,-17.6203,27.3414,68.9,57,5,6.02
264,Mindelo,CV,2021-09-23 01:23:25,16.8901,-24.9804,78.35,73,20,26.46
265,Quelimane,MZ,2021-09-23 01:23:26,-17.8786,36.8883,69.12,87,25,3.53
266,Tignere,CM,2021-09-23 01:23:27,7.3667,12.65,63.61,97,100,1.88
267,Port-Cartier,CA,2021-09-23 01:23:27,50.0334,-66.8654,62.92,88,100,6.04
268,Oussouye,SN,2021-09-23 01:19:02,12.485,-16.5469,80.78,91,100,4.14
269,Severo-Kurilsk,RU,2021-09-23 01:23:28,50.6789,156.125,48.36,94,100,13.78
270,Terra Santa,BR,2021-09-23 01:23:28,-2.1042,-56.4869,78.06,73,100,2.71
271,Mumford,GH,2021-09-23 01:23:29,5.2618,-0.759,76.5,90,100,4.05
272,Pacific Grove,US,2021-09-23 01:23:30,36.6177,-121.9166,84.81,81,1,3.0
273,Poum,NC,2021-09-23 01:19:22,-20.2333,164.0167,71.76,63,13,23.11
274,Fare,PF,2021-09-23 01:23:31,-16.7,-151.0167,77.14,74,0,10.27
275,Port Lincoln,AU,2021-09-23 01:23:31,-34.7333,135.8667,63.57,52,0,12.75
276,Provideniya,RU,2021-09-23 01:23:31,64.3833,-173.3,39.31,48,40,6.71
277,Port Macquarie,AU,2021-09-23 01:20:50,-31.4333,152.9167,73.36,40,0,8.19
278,Cherskiy,RU,2021-09-23 01:23:32,68.75,161.3,32.86,84,100,7.31
279,Koumac,NC,2021-09-23 01:23:33,-20.5667,164.2833,74.43,54,10,17.65
280,Waingapu,ID,2021-09-23 01:23:33,-9.6567,120.2641,84.9,59,32,17.76
281,Nikolskoye,RU,2021-09-23 01:23:34,59.7035,30.7861,46.02,84,100,3.62
282,Morro Bay,US,2021-09-23 01:18:59,35.3658,-120.8499,89.74,69,29,5.01
283,Iquique,CL,2021-09-23 01:23:34,-20.2208,-70.1431,59.04,74,100,0.58
284,Necochea,AR,2021-09-23 01:23:35,-38.5473,-58.7368,51.04,81,100,8.08
285,Coihaique,CL,2021-09-23 01:23:35,-45.5752,-72.0662,49.95,76,90,5.75
286,Bathsheba,BB,2021-09-23 01:18:42,13.2167,-59.5167,83.01,74,20,11.5
287,Puerto El Triunfo,SV,2021-09-23 01:23:36,13.2833,-88.55,85.12,82,9,5.06
288,Lyubech,UA,2021-09-23 01:23:37,51.7026,30.6569,43.05,95,100,5.61
289,Saiha,IN,2021-09-23 01:23:37,22.4833,92.9667,71.91,87,70,1.86
290,Mutata,CO,2021-09-23 01:23:37,7.2441,-76.4356,74.8,98,100,0.98
291,Ratnagiri,IN,2021-09-23 01:23:38,16.9833,73.3,76.24,88,100,2.98
